"Search Term","File","Line/Function","Meaning","Risk","Current Disposition","Required Action"
"$SimpleTeamMode","core/start-local-server.ps1","Line 19","Simple Team Mode flag - bypasses Windows group checks","LOW","Active - set to $true","None - working as designed"
"MechLex_Admins","core/start-local-server.ps1","Line 299","Windows AD group check in Test-MechLexRole","MEDIUM","Active but bypassed by SimpleTeamMode","None in Simple Team Mode; remove dead code path if permanent"
"MechLex_Editors","core/start-local-server.ps1","Line 302","Windows AD group check in Test-MechLexRole","MEDIUM","Active but bypassed by SimpleTeamMode","None in Simple Team Mode; remove dead code path if permanent"
"IsInRole","core/start-local-server.ps1","Lines 299-302","WindowsPrincipal.IsInRole for group checks","MEDIUM","Active but bypassed by SimpleTeamMode","None in Simple Team Mode"
"WindowsIdentity","core/start-local-server.ps1","Line 296","Gets current Windows identity","MEDIUM","Active but bypassed by SimpleTeamMode","None in Simple Team Mode"
"WindowsPrincipal","core/start-local-server.ps1","Line 297","Creates principal for role checks","MEDIUM","Active but bypassed by SimpleTeamMode","None in Simple Team Mode"
"Administrator","core/start-local-server.ps1","Line 299","Built-in Administrator role check","MEDIUM","Active but bypassed by SimpleTeamMode","None in Simple Team Mode"
"MECHLEX_MOCK_ROLE","core/start-local-server.ps1","Line 290","Testing override for roles","LOW","Active - test support","Ensure not set in production"
"127.0.0.1","core/start-local-server.ps1","Lines 14,52,70,259,310,311,315","Loopback binding and URLs","LOW","Active - correct usage for loopback server","None - correct behavior"
"127.0.0.1:8765","codex-qa/workspaces/*/app.js","Multiple","OLD hardcoded port in QA workspace copies","HIGH","Historical copies - not production","Clean up or document as historical"
"http://127.0.0.1:8765","qa/automation/*.js","Lines 8-9","Playwright test scripts use hardcoded URL","MEDIUM","Active test code","Make configurable if tests are maintained"
"http://127.0.0.1:8765","qa/tests/*.ps1","Line 1","Test scripts use hardcoded URL","MEDIUM","Active test code","Make configurable"
"http://127.0.0.1:8765","generate_md.js","Lines 12,114","Documentation generator references","LOW","Documentation/tooling","Update to dynamic port"
"Port 8765","core/start-local-server.ps1","Line 2","Default port parameter","LOW","Active - used as preferred default","None - dynamic selection handles conflicts"
"SHARED_DATA_PATH.txt","core/start-local-server.ps1","Line 25","Config file for shared data path","LOW","Active - read in Resolve-SharedDataPath","None - working as designed"
"SHARED_DATA_PATH.txt","SHARED_DATA_PATH.txt","File","Config file with relative path to simulation","LOW","Active","Update for production deployment"
"MechLex_Shared_Data_Simulation","core/start-local-server.ps1","Line 34","Fallback path when no config found","LOW","Active - last resort fallback","None - correct fallback chain"
"MechLex_Shared_Data_Simulation","SHARED_DATA_PATH.txt","Line 7","Configured as relative path ..\\","LOW","Active","Update for production"
"OpenOrCreate","core/start-local-server.ps1","Line 200","Lock file creation in Acquire-StateLock","LOW","Active - used for .mechlex-state.lock only","Acceptable - lock files require OpenOrCreate"
"localStorage","app.js","Lines 87-89","Storage API detection test","LOW","Active - test only, not data storage","None"
"localStorage","core/persistence.js","Lines 143,149","Restore point storage","LOW","Active - stores restore points, not dictionary","Monitor - limited scope is acceptable"
"localStorage","core/shared-sync.js","Lines 23,26","Client ID storage","LOW","Active - stores client identifier only","None"
"MECHLEX_SHARED_DATA","app.js","Lines 827-828,2990-2993,3949","Embedded data from mechlex-data.js","MEDIUM","Active - used as initial data before sync","Ensure sync always overwrites; consider blocking render before sync"
"MECHLEX_SHARED_DATA","data/mechlex-data.js","Line 11","Embedded base knowledge catalog","MEDIUM","Active - always loaded by HTML","Consider making optional after sync"
"sampleData()","app.js","Lines 183,822,825,830,3949","Fallback data when nothing else available","MEDIUM","Active - used when no storage and no embedded data","Ensure never becomes authoritative after sync"
"catch(e) { console.warn","app.js","Line 72","Swallowed image catalog fetch failure","MEDIUM","Active","Consider showing user-visible warning"
"catch (e) { console.warn","app.js","Line 2387","Swallowed can-write verification failure","MEDIUM","Active","Consider failing closed instead of open"
"catch {}","core/start-local-server.ps1","Line 399","Empty catch in can-write handler","HIGH","Active - swallows errors silently","Add error logging"
"catch {}","core/start-local-server.ps1","Line 564","Empty catch in inner error response","MEDIUM","Active","Add error logging"
"catch {}","core/start-local-server.ps1","Line 60","Empty catch in port test","LOW","Active - expected for port probing","None - correct behavior"
"IMAGE_CATALOG","app.js","Lines 63,69,2142,2149,2153","Dynamic image catalog from /api/image-catalog","LOW","Active - correct dynamic approach","None"
"MECHLEX_IMAGE_CATALOG","images/catalog.js","Line 1","Static empty image catalog","LOW","Dead code - not loaded by HTML","Remove dead file"
"MECHLEX_EMBEDDED_IMAGES","images/catalog.js","Line 2","Static empty embedded images","LOW","Dead code - not loaded by HTML","Remove dead file"
"state.json","core/start-local-server.ps1","Lines 42,176,242-246","State file path and read/write","LOW","Active - correct usage","None"
"contentPin","app.js","Lines 471-472,870,2370,3848","Content admin PIN default 1234","MEDIUM","Active - plaintext in settings","Remove from shared state.json"
"superPin","app.js","Lines 473,871,2370,3848","Super admin PIN default 9999","MEDIUM","Active - plaintext in settings","Remove from shared state.json"
"file://","core/shared-sync.js","Line 241","Blocks sync in file:// mode","LOW","Active - correct behavior","Also block rendering of functional dictionary"
"file://","core/persistence.js","Line 8","Detects file:// offline mode","LOW","Active - correct detection","Pair with rendering block"
